State,State Abbreviation,County,County Population
Nevada,NV,Esmeralda,981.0
Nevada,NV,Humboldt,16904.0
Nevada,NV,Mineral,4448.0
Nevada,NV,White Pine,9737.0
Nevada,NV,Elko,52252.0
Nevada,NV,Lincoln,5174.0
Nevada,NV,Nye,43705.0
Nevada,NV,Storey,3941.0
Nevada,NV,Washoe,450486.0
Nevada,NV,Clark,2141574.0
Nevada,NV,Carson City,54467.0
Nevada,NV,Lyon,53155.0
Nevada,NV,Lander,5746.0
Nevada,NV,Eureka,1830.0
New Hampshire,NH,Cheshire,76263.0
New Hampshire,NH,Merrimack,149452.0
New Hampshire,NH,Grafton,89811.0
New Hampshire,NH,Rockingham,305129.0
New Hampshire,NH,Belknap,60640.0
New Hampshire,NH,Sullivan,43125.0
New Hampshire,NH,Hillsborough,411087.0
New Hampshire,NH,Strafford,128237.0
New Hampshire,NH,Coos,32038.0
New Hampshire,NH,Carroll,47840.0
New Jersey,NJ,Monmouth,623387.0
New Jersey,NJ,Sussex,142298.0
New Jersey,NJ,Cumberland,153400.0
New Jersey,NJ,Essex,793555.0
New Jersey,NJ,Ocean,591939.0
New Jersey,NJ,Gloucester,290852.0
New Jersey,NJ,Salem,63336.0
New Jersey,NJ,Passaic,504041.0
New Jersey,NJ,Camden,507367.0
New Jersey,NJ,Bergen,929999.0
New Jersey,NJ,Warren,106293.0
New Jersey,NJ,Hudson,668631.0
New Jersey,NJ,Burlington,446367.0
New Jersey,NJ,Morris,494383.0
New Jersey,NJ,Mercer,368762.0
New Jersey,NJ,Somerset,330176.0
New Jersey,NJ,Atlantic,268539.0
New Jersey,NJ,Middlesex,826698.0
New Jersey,NJ,Cape May,93705.0
New Jersey,NJ,Union,553066.0
New Jersey,NJ,Hunterdon,125051.0
New Mexico,NM,Rio Arriba,39307.0
New Mexico,NM,San Miguel,28034.0
New Mexico,NM,Torrance,15595.0
New Mexico,NM,Otero,65745.0
New Mexico,NM,Cibola,26978.0
New Mexico,NM,Guadalupe,4382.0
New Mexico,NM,Catron,3539.0
New Mexico,NM,Grant,28061.0
New Mexico,NM,Luna,24264.0
New Mexico,NM,McKinley,72849.0
New Mexico,NM,Taos,32888.0
New Mexico,NM,Colfax,12353.0
New Mexico,NM,Eddy,57437.0
New Mexico,NM,Mora,4563.0
New Mexico,NM,Quay,8373.0
New Mexico,NM,Lincoln,19482.0
New Mexico,NM,Lea,70126.0
New Mexico,NM,Santa Fe,148917.0
New Mexico,NM,Sierra,11135.0
New Mexico,NM,Socorro,17000.0
New Mexico,NM,Do�a Ana,215338.0
New Mexico,NM,Los Alamos,18356.0
New Mexico,NM,Valencia,75956.0
New Mexico,NM,Bernalillo,677692.0
New Mexico,NM,De Baca,2060.0
New Mexico,NM,Hidalgo,4371.0
New Mexico,NM,Sandoval,140769.0
New Mexico,NM,Curry,50199.0
New Mexico,NM,Harding,459.0
New Mexico,NM,San Juan,127455.0
New Mexico,NM,Chaves,65459.0
New Mexico,NM,Union,4175.0
New Mexico,NM,Roosevelt,19117.0
New York,NY,Schoharie,31364.0
New York,NY,Onondaga,464242.0
New York,NY,Clinton,80794.0
New York,NY,Seneca,34612.0
New York,NY,Putnam,99070.0
New York,NY,Franklin,50692.0
New York,NY,Ontario,109472.0
New York,NY,Queens,2298513.0
New York,NY,Steuben,96927.0
New York,NY,Hamilton,4575.0
New York,NY,Washington,61828.0
New York,NY,Chautauqua,129656.0
New York,NY,Kings,2600747.0
New York,NY,New York,1632480.0
New York,NY,Tioga,49045.0
New York,NY,Cayuga,77868.0
New York,NY,Orleans,41175.0
New York,NY,Saratoga,227377.0
New York,NY,Rockland,323686.0
New York,NY,Columbia,60919.0
New York,NY,Lewis,26719.0
New York,NY,Niagara,211704.0
New York,NY,Westchester,968815.0
New York,NY,Delaware,45502.0
New York,NY,Essex,37751.0
New York,NY,Montgomery,49426.0
New York,NY,Nassau,1356564.0
New York,NY,Richmond,474101.0
New York,NY,Schuyler,17992.0
New York,NY,Tompkins,102962.0
New York,NY,Chenango,48348.0
New York,NY,Cortland,48123.0
New York,NY,Jefferson,114448.0
New York,NY,Oneida,230782.0
New York,NY,Suffolk,1487901.0
New York,NY,Wyoming,40565.0
New York,NY,Chemung,85740.0
New York,NY,Oswego,119104.0
New York,NY,Otsego,60244.0
New York,NY,Wayne,90856.0
New York,NY,Albany,307426.0
New York,NY,Broome,194402.0
New York,NY,Erie,919866.0
New York,NY,Madison,71359.0
New York,NY,Sullivan,75211.0
New York,NY,Genesee,58112.0
New York,NY,Orange,378227.0
New York,NY,Bronx,1437872.0
New York,NY,Fulton,53743.0
New York,NY,Rensselaer,159431.0
New York,NY,Dutchess,293894.0
New York,NY,Herkimer,62505.0
New York,NY,St. Lawrence,109558.0
New York,NY,Warren,64480.0
New York,NY,Monroe,744248.0
New York,NY,Ulster,179303.0
New York,NY,Livingston,63907.0
New York,NY,Greene,47617.0
New York,NY,Allegany,47025.0
New York,NY,Cattaraugus,77686.0
New York,NY,Schenectady,154883.0
New York,NY,Yates,25009.0
North Carolina,NC,Mitchell,15040.0
North Carolina,NC,Greene,21008.0
North Carolina,NC,Chowan,14205.0
North Carolina,NC,Caldwell,81779.0
North Carolina,NC,Catawba,156729.0
North Carolina,NC,Craven,103082.0
North Carolina,NC,Edgecombe,53332.0
North Carolina,NC,Harnett,130361.0
North Carolina,NC,Henderson,113625.0
North Carolina,NC,Hyde,5393.0
North Carolina,NC,Mecklenburg,1054314.0
North Carolina,NC,Northampton,20186.0
North Carolina,NC,Rowan,139605.0
North Carolina,NC,Vance,44482.0
North Carolina,NC,Currituck,25796.0
North Carolina,NC,Union,226694.0
North Carolina,NC,Forsyth,371573.0
North Carolina,NC,Nash,94003.0
North Carolina,NC,Bladen,33778.0
North Carolina,NC,Dare,35741.0
North Carolina,NC,Warren,20033.0
North Carolina,NC,Wilson,81336.0
North Carolina,NC,Bertie,19644.0
North Carolina,NC,Gates,11563.0
North Carolina,NC,Graham,8557.0
North Carolina,NC,Martin,23054.0
North Carolina,NC,Madison,21405.0
North Carolina,NC,Pamlico,12742.0
North Carolina,NC,Perquimans,13459.0
North Carolina,NC,Polk,20458.0
North Carolina,NC,Randolph,142958.0
North Carolina,NC,Rockingham,91270.0
North Carolina,NC,Stokes,45905.0
North Carolina,NC,Washington,12156.0
North Carolina,NC,Camden,10447.0
North Carolina,NC,Clay,10813.0
North Carolina,NC,Cumberland,332106.0
North Carolina,NC,Gaston,216585.0
North Carolina,NC,Guilford,523582.0
North Carolina,NC,Jackson,42256.0
North Carolina,NC,Moore,95629.0
North Carolina,NC,Robeson,133442.0
North Carolina,NC,Stanly,61114.0
North Carolina,NC,Wake,1046558.0
North Carolina,NC,Yancey,17667.0
North Carolina,NC,Chatham,69791.0
North Carolina,NC,McDowell,45109.0
North Carolina,NC,Johnston,191172.0
North Carolina,NC,Jones,9695.0
North Carolina,NC,Person,39305.0
North Carolina,NC,Brunswick,126860.0
North Carolina,NC,Ashe,26786.0
North Carolina,NC,Beaufort,47243.0
North Carolina,NC,Lenoir,57227.0
North Carolina,NC,Rutherford,66532.0
North Carolina,NC,Lincoln,81441.0
North Carolina,NC,Onslow,193912.0
North Carolina,NC,Orange,142938.0
North Carolina,NC,Sampson,63561.0
North Carolina,NC,Yadkin,37665.0
North Carolina,NC,Avery,17501.0
North Carolina,NC,Burke,89712.0
North Carolina,NC,Caswell,22746.0
North Carolina,NC,Davie,41991.0
North Carolina,NC,Duplin,59062.0
North Carolina,NC,Durham,306457.0
North Carolina,NC,Lee,60125.0
North Carolina,NC,New Hanover,224231.0
North Carolina,NC,Wayne,124002.0
North Carolina,NC,Scotland,35262.0
North Carolina,NC,Halifax,51737.0
North Carolina,NC,Alamance,160576.0
North Carolina,NC,Haywood,60433.0
North Carolina,NC,Alleghany,10973.0
North Carolina,NC,Cleveland,97159.0
North Carolina,NC,Granville,58874.0
North Carolina,NC,Hoke,53239.0
North Carolina,NC,Iredell,172525.0
North Carolina,NC,Pitt,177372.0
North Carolina,NC,Cherokee,27668.0
North Carolina,NC,Wilkes,68460.0
North Carolina,NC,Alexander,37119.0
North Carolina,NC,Carteret,68920.0
North Carolina,NC,Pasquotank,39479.0
North Carolina,NC,Swain,14254.0
North Carolina,NC,Anson,25306.0
North Carolina,NC,Franklin,64902.0
North Carolina,NC,Macon,34410.0
North Carolina,NC,Transylvania,33513.0
North Carolina,NC,Columbus,56293.0
North Carolina,NC,Montgomery,27338.0
North Carolina,NC,Richmond,45189.0
North Carolina,NC,Surry,72099.0
North Carolina,NC,Buncombe,254474.0
North Carolina,NC,Cabarrus,201448.0
North Carolina,NC,Davidson,164664.0
North Carolina,NC,Hertford,24153.0
North Carolina,NC,Pender,59020.0
North Carolina,NC,Watauga,54117.0
North Carolina,NC,Tyrrell,4119.0
North Dakota,ND,Burke,2213.0
North Dakota,ND,Mountrail,10152.0
North Dakota,ND,Williams,34061.0
North Dakota,ND,Billings,946.0
North Dakota,ND,Kidder,2460.0
