Population,County,State,Abbreviation
17127.0,Seward,Nebraska,NE
645.0,Thomas,Nebraska,NE
20317.0,Dakota,Nebraska,NE
3571.0,Webster,Nebraska,NE
6372.0,Antelope,Nebraska,NE
8067.0,Butler,Nebraska,NE
6232.0,Clay,Nebraska,NE
10830.0,Custer,Nebraska,NE
21595.0,Gage,Nebraska,NE
9178.0,Hamilton,Nebraska,NE
6552.0,Kearney,Nebraska,NE
8099.0,Keith,Nebraska,NE
35164.0,Madison,Nebraska,NE
2907.0,Perkins,Nebraska,NE
21024.0,Saunders,Nebraska,NE
9367.0,Wayne,Nebraska,NE
792.0,Keya Paha,Nebraska,NE
8460.0,Knox,Nebraska,NE
35433.0,Lincoln,Nebraska,NE
7157.0,Pierce,Nebraska,NE
1266.0,Sioux,Nebraska,NE
25702.0,Cass,Nebraska,NE
5746.0,Dixon,Nebraska,NE
2023.0,Dundy,Nebraska,NE
2410.0,Greeley,Nebraska,NE
61343.0,Hall,Nebraska,NE
15896.0,Otoe,Nebraska,NE
10806.0,Red Willow,Nebraska,NE
8896.0,Dawes,Nebraska,NE
9852.0,Cheyenne,Nebraska,NE
23804.0,Dawson,Nebraska,NE
4224.0,Valley,Nebraska,NE
454.0,McPherson,Nebraska,NE
3554.0,Nance,Nebraska,NE
5992.0,Stanton,Nebraska,NE
3438.0,Harlan,Nebraska,NE
480.0,Blaine,Nebraska,NE
49030.0,Buffalo,Nebraska,NE
1894.0,Deuel,Nebraska,NE
2843.0,Hitchcock,Nebraska,NE
33063.0,Platte,Nebraska,NE
5098.0,Thayer,Nebraska,NE
11089.0,Box Butte,Nebraska,NE
5234.0,Sheridan,Nebraska,NE
4275.0,Nuckolls,Nebraska,NE
2609.0,Frontier,Nebraska,NE
554992.0,Douglas,Nebraska,NE
3734.0,Chase,Nebraska,NE
418.0,Arthur,Nebraska,NE
3006.0,Franklin,Nebraska,NE
7188.0,Jefferson,Nebraska,NE
585.0,Loup,Nebraska,NE
9120.0,Phelps,Nebraska,NE
36255.0,Scotts Bluff,Nebraska,NE
3667.0,Kimball,Nebraska,NE
7803.0,Merrick,Nebraska,NE
6528.0,Burt,Nebraska,NE
8991.0,Cuming,Nebraska,NE
718.0,Grant,Nebraska,NE
943.0,Hayes,Nebraska,NE
8523.0,Cedar,Nebraska,NE
5197.0,Johnson,Nebraska,NE
1975.0,Garfield,Nebraska,NE
2676.0,Pawnee,Nebraska,NE
822.0,Wheeler,Nebraska,NE
13799.0,York,Nebraska,NE
10760.0,Colfax,Nebraska,NE
886.0,Logan,Nebraska,NE
5255.0,Polk,Nebraska,NE
2988.0,Brown,Nebraska,NE
24010.0,Churchill,Nevada,NV
47828.0,Douglas,Nevada,NV
6611.0,Pershing,Nevada,NV
981.0,Esmeralda,Nevada,NV
16904.0,Humboldt,Nevada,NV
4448.0,Mineral,Nevada,NV
9737.0,White Pine,Nevada,NV
52252.0,Elko,Nevada,NV
5174.0,Lincoln,Nevada,NV
43705.0,Nye,Nevada,NV
3941.0,Storey,Nevada,NV
450486.0,Washoe,Nevada,NV
2141574.0,Clark,Nevada,NV
54467.0,Carson City,Nevada,NV
53155.0,Lyon,Nevada,NV
5746.0,Lander,Nevada,NV
1830.0,Eureka,Nevada,NV
76263.0,Cheshire,New Hampshire,NH
149452.0,Merrimack,New Hampshire,NH
89811.0,Grafton,New Hampshire,NH
305129.0,Rockingham,New Hampshire,NH
60640.0,Belknap,New Hampshire,NH
43125.0,Sullivan,New Hampshire,NH
411087.0,Hillsborough,New Hampshire,NH
128237.0,Strafford,New Hampshire,NH
32038.0,Coos,New Hampshire,NH
47840.0,Carroll,New Hampshire,NH
623387.0,Monmouth,New Jersey,NJ
142298.0,Sussex,New Jersey,NJ
153400.0,Cumberland,New Jersey,NJ
793555.0,Essex,New Jersey,NJ
591939.0,Ocean,New Jersey,NJ
290852.0,Gloucester,New Jersey,NJ
63336.0,Salem,New Jersey,NJ
504041.0,Passaic,New Jersey,NJ
507367.0,Camden,New Jersey,NJ
929999.0,Bergen,New Jersey,NJ
106293.0,Warren,New Jersey,NJ
668631.0,Hudson,New Jersey,NJ
446367.0,Burlington,New Jersey,NJ
494383.0,Morris,New Jersey,NJ
368762.0,Mercer,New Jersey,NJ
330176.0,Somerset,New Jersey,NJ
268539.0,Atlantic,New Jersey,NJ
826698.0,Middlesex,New Jersey,NJ
93705.0,Cape May,New Jersey,NJ
553066.0,Union,New Jersey,NJ
125051.0,Hunterdon,New Jersey,NJ
39307.0,Rio Arriba,New Mexico,NM
28034.0,San Miguel,New Mexico,NM
15595.0,Torrance,New Mexico,NM
65745.0,Otero,New Mexico,NM
26978.0,Cibola,New Mexico,NM
4382.0,Guadalupe,New Mexico,NM
3539.0,Catron,New Mexico,NM
28061.0,Grant,New Mexico,NM
24264.0,Luna,New Mexico,NM
72849.0,McKinley,New Mexico,NM
32888.0,Taos,New Mexico,NM
12353.0,Colfax,New Mexico,NM
57437.0,Eddy,New Mexico,NM
4563.0,Mora,New Mexico,NM
8373.0,Quay,New Mexico,NM
19482.0,Lincoln,New Mexico,NM
70126.0,Lea,New Mexico,NM
148917.0,Santa Fe,New Mexico,NM
11135.0,Sierra,New Mexico,NM
17000.0,Socorro,New Mexico,NM
215338.0,Do�a Ana,New Mexico,NM
18356.0,Los Alamos,New Mexico,NM
75956.0,Valencia,New Mexico,NM
677692.0,Bernalillo,New Mexico,NM
2060.0,De Baca,New Mexico,NM
4371.0,Hidalgo,New Mexico,NM
140769.0,Sandoval,New Mexico,NM
50199.0,Curry,New Mexico,NM
459.0,Harding,New Mexico,NM
127455.0,San Juan,New Mexico,NM
65459.0,Chaves,New Mexico,NM
4175.0,Union,New Mexico,NM
19117.0,Roosevelt,New Mexico,NM
31364.0,Schoharie,New York,NY
464242.0,Onondaga,New York,NY
80794.0,Clinton,New York,NY
34612.0,Seneca,New York,NY
99070.0,Putnam,New York,NY
50692.0,Franklin,New York,NY
109472.0,Ontario,New York,NY
2298513.0,Queens,New York,NY
96927.0,Steuben,New York,NY
4575.0,Hamilton,New York,NY
61828.0,Washington,New York,NY
129656.0,Chautauqua,New York,NY
2600747.0,Kings,New York,NY
1632480.0,New York,New York,NY
49045.0,Tioga,New York,NY
77868.0,Cayuga,New York,NY
41175.0,Orleans,New York,NY
227377.0,Saratoga,New York,NY
323686.0,Rockland,New York,NY
60919.0,Columbia,New York,NY
26719.0,Lewis,New York,NY
211704.0,Niagara,New York,NY
968815.0,Westchester,New York,NY
45502.0,Delaware,New York,NY
37751.0,Essex,New York,NY
49426.0,Montgomery,New York,NY
1356564.0,Nassau,New York,NY
474101.0,Richmond,New York,NY
17992.0,Schuyler,New York,NY
102962.0,Tompkins,New York,NY
48348.0,Chenango,New York,NY
48123.0,Cortland,New York,NY
114448.0,Jefferson,New York,NY
230782.0,Oneida,New York,NY
1487901.0,Suffolk,New York,NY
40565.0,Wyoming,New York,NY
85740.0,Chemung,New York,NY
119104.0,Oswego,New York,NY
60244.0,Otsego,New York,NY
90856.0,Wayne,New York,NY
307426.0,Albany,New York,NY
194402.0,Broome,New York,NY
919866.0,Erie,New York,NY
71359.0,Madison,New York,NY
75211.0,Sullivan,New York,NY
58112.0,Genesee,New York,NY
378227.0,Orange,New York,NY
1437872.0,Bronx,New York,NY
53743.0,Fulton,New York,NY
159431.0,Rensselaer,New York,NY
293894.0,Dutchess,New York,NY
62505.0,Herkimer,New York,NY
109558.0,St. Lawrence,New York,NY
64480.0,Warren,New York,NY
744248.0,Monroe,New York,NY
179303.0,Ulster,New York,NY
63907.0,Livingston,New York,NY
47617.0,Greene,New York,NY
47025.0,Allegany,New York,NY
77686.0,Cattaraugus,New York,NY
154883.0,Schenectady,New York,NY
25009.0,Yates,New York,NY
15040.0,Mitchell,North Carolina,NC
21008.0,Greene,North Carolina,NC
14205.0,Chowan,North Carolina,NC
81779.0,Caldwell,North Carolina,NC
156729.0,Catawba,North Carolina,NC
103082.0,Craven,North Carolina,NC
53332.0,Edgecombe,North Carolina,NC
130361.0,Harnett,North Carolina,NC
113625.0,Henderson,North Carolina,NC
5393.0,Hyde,North Carolina,NC
